Section,Modules,Has a mental health condition,Does not have a mental health condition,Has a long term health condition,Does not have a long term health condition,Has disability,Has no disability,Total persons
Age group,40–54,381.6,2146.7,1023.8,1498.8,558.6,1976,2539.1
Age group,55–69,290.5,1845.2,1304.6,848.8,695.5,1450.3,2135.2
Age group,70 years and over,164.9,1270.1,1160,285.4,793.2,634.7,1437.6
Labour force status,Full-time,381,2532.6,970.4,1930.5,383.9,2518.5,2898.7
Labour force status,Part-time,517.4,2379.9,1239.5,1669.8,558.6,2362.2,2901.5
Labour force status,Unemployed,112,317.7,199.7,259.9,109.4,318.9,434.4
Labour force status,Not in the labour force,647.2,3418.6,2389.5,1676,1601,2478.4,4080
Level of highest non-school qualification,Bachelor Degree or above,516.9,3299.7,1454.9,2364.5,712.5,3098.2,3828.2
Level of highest non-school qualification,Advanced Diploma/Diploma or below,540.6,2226.7,1388.1,1387.4,741,2042.2,2785.6
Level of highest non-school qualification,No non-school qualification,565.2,2995.1,1884.4,1673.7,1167.7,2393.5,3556.7
Engagement in employment or study,Fully engaged,531.2,3723.9,1307,2948.6,594.3,3665.1,4244.7
Engagement in employment or study,Partially engaged,493.9,1885,1140,1257.2,491.7,1909.1,2382.1
Engagement in employment or study,Not engaged in study or employment,626.8,3056.3,2358.9,1340.9,1578.6,2114,3686.6
Family composition of household,Couple family with dependant children,433.7,2874.4,988.6,2344,494.2,2845.6,3312.8
Family composition of household,One parent family with dependant children,166.3,473.2,310.1,332.3,162.1,473.9,636.2
Family composition of household,Couple only,382.9,2373.3,1574.7,1185.6,767.7,1988,2756.4
Family composition of household,Other one family households,194.9,909.5,526.4,585.1,310.5,791,1119.3
Family composition of household,Lone person,276.3,1216.8,1006.6,493.7,666.2,823.1,1491.3
Family composition of household,Other households,152.6,816.1,391.1,558.4,236.5,745.2,973.7
Marital status,Married in a registered marriage,555.7,4482,2353.2,2694.6,1219.4,3822.9,5045.6
Marital status,Married in a de facto marriage,278.7,907.3,485.3,675.2,217.2,958.5,1163.8
Marital status,Not married,815.4,3286.8,1957.3,2150.2,1204.7,2908.4,4090.1
Main Source of Household Income,Employee income,1036.3,5850.6,2579.9,4307.4,1184.9,5727.2,6882.5
Main Source of Household Income,Unincorporated business income,23.6,120.7,49.6,92.3,19.6,113.3,151
Main Source of Household Income,Government pensions and allowances,465.1,1457.7,1417.9,512.7,1014.4,904.2,1928.1
Main Source of Household Income,Other income,84.9,849.8,607.6,321.4,348.7,596.4,940.1
Current weekly household equivalised gross income quintiles,Lowest quintile,351.8,1602.1,959.8,995.2,674.7,1279.8,1945.8
Current weekly household equivalised gross income quintiles,Second quintile,331.9,1656.3,1085.5,902.2,750.6,1232.3,1993.4
Current weekly household equivalised gross income quintiles,Third quintile,344,1699.2,1048.1,1011.1,507.6,1552.7,2059.9
Current weekly household equivalised gross income quintiles,Fourth quintile,284.3,1686.4,707.4,1267.3,386,1605.1,1995.1
Current weekly household equivalised gross income quintiles,Highest quintile,268,1590.7,769.6,1069.8,233.4,1612,1851.7
NA,Government support has been the main source of income in last 2 years,647.8,2285,1854.1,1109.1,1301.8,1644.2,2941.7
NA,Females aged 15 years and over,1642.8,8683,4800.5,5516.6,2651.6,7676.9,10325.2
